Produto,Descricao,Localizacao,Familia,Estoque,Venda,Un
20845,MACANETA EXT SANTANA 98/ TRAS ESQ,F-8,FECHA,2,"108,59",PC
20842,MACANETA EXT SANTANA 98/... DIANT DIR C/CHAVE,,FECHA,1,"139,75",PC
20843,MACANETA EXT SANTANA 98/... DIANT ESQ C/CHAVE,F-3,FECHA,1,"159,58",PC
20844,MACANETA EXT SANTANA DIR S/CHAVE,F-3,FECHA,1,"115,62",PC
41334,MACANETA EXT TAMPA TRAZ CACAMBA MONTANA 2003/..,F-11,FECHA,1,"157,55",PC
70051,MACANETA EXT TRAS UNO 4P AP 95 - D/E SEM CHAVE,F-21,FECHA,0,"27,95",PC
71308,MACANETA EXT UNO 2010/ DIANT DIR C/FURO,E-8,FECHA,1,"68,35",PC
70942,MACANETA EXT UNO 2010/ DIANT E TRAZ DIR,F-5,FECHA,2,"50,82",PC
71307,MACANETA EXT UNO 2010/ DIANT ESQ C/FURO,E-8,FECHA,1,"73,24",PC
70941,MACANETA EXT UNO 2010/.. DIANT E TRAZ ESQ,F-5,FECHA,2,"42,27",PC
70050,MACANETA EXT UNO 95/04 DIANT DIR,F-7,FECHA,2,"80,00",PC
70049,MACANETA EXT UNO 95/04 DIANT ESQ,F-7,FECHA,0,"50,31",PC
60774,MACANETA EXT UNO PTA S/C LD (ANTIGO),F-5,FECHA,6,"7,50",PC
60775,MACANETA EXT UNO PTA S/C LE (ANTIGO),F-5,FECHA,4,"7,50",PC
40996,MACANETA INT ASTRA 98/02 DIANT DIR,F-10,FECHA,0,"18,17",PC
1360200,MACANETA INT C-10/D-10 VERANEIO LD/LE,F-16,FECHA,0,"27,67",PC
50386,MACANETA INT CAM ACCELO DIR,J1-55,FECHA,1,"26,92",PC
50387,MACANETA INT CAM ACCELO ESQ 03/,J1-55,FECHA,1,"41,93",PC
40708,MACANETA INT CELTA DIR 01/06,J1-52,FECHA,2,"44,08",PC
41546,MACANETA INT CELTA DIR 06/ PRISMA 06/13 PRATA,J1-54,FECHA,1,"55,78",PC
41306,MACANETA INT CELTA DIR 06/ PRISMA 06/13 PRETA,J1-53,FECHA,3,"44,30",PC
40709,MACANETA INT CELTA ESQ 01/06,J1-52,FECHA,2,"42,31",PCA
41545,MACANETA INT CELTA ESQ 06/ PRISMA 06/13 PRATA,J1-54,FECHA,1,"41,93",PC
41305,MACANETA INT CELTA ESQ 06/ PRISMA 06/13 PRETA,J1-53,FECHA,1,"51,82",PC
11092,MACANETA INT CLIO 99/ DIANT/TRAS DIR,F-21,FECHA,0,"49,68",PC
11093,MACANETA INT CLIO 99/ DIANT/TRAS ESQ,F-21,FECHA,0,"49,68",PC
30144,MACANETA INT CORCEL BELINA I /77 DIR,F-15,FECHA,0,"26,55",PC
30145,MACANETA INT CORCEL BELINA I /77 ESQ,F-15,FECHA,0,"26,55",PC
40470,MACANETA INT CORSA 94/ DIANT DIR CINZA,J1-46,FECHA,4,"27,70",PC
41218,MACANETA INT CORSA 94/ DIANT DIR PRETA,J1-41,FECHA,2,"28,65",PC
40469,MACANETA INT CORSA 94/ DIANT ESQ CINZA,J1-45,FECHA,3,"28,80",PC
41217,MACANETA INT CORSA 94/ DIANT ESQ PRETA,J1-40,FECHA,2,"28,75",PC
41220,MACANETA INT CORSA 94/ TRAS DIR CINZA,J1-43,FECHA,0,"30,55",PC
41166,MACANETA INT CORSA 94/ TRAS DIR GRAFITE,J1-44,FECHA,2,"29,62",PC
41219,MACANETA INT CORSA 94/ TRAS ESQ CINZA,J1-42,FECHA,2,"31,30",PC
41165,MACANETA INT CORSA 94/ TRAS ESQ GRAFITE,J1-44,FECHA,2,"30,96",PC
40956,MACANETA INT DIANT DIR CELTA 2001/2006 PRATA,,FECHA,0,"38,12",PC
40955,MACANETA INT DIANT ESQ CELTA 2001/2006 PRATA,,FECHA,0,"54,03",PC
30274,MACANETA INT ESCORT 87/92 DIR,F-2,FECHA,0,"45,65",PC
30275,MACANETA INT ESCORT 87/92 ESQ,F-2,FECHA,1,"34,54",PC
30526,MACANETA INT ESCORT 97/00 DIR,F-4,FECHA,1,"43,87",PC
30527,MACANETA INT ESCORT 97/00 ESQ,F-4,FECHA,2,"43,87",PC
1311200,MACANETA INT F-1000 91/ LD FR72,F-12,FECHA,0,"15,37",PC
30288,MACANETA INT F-1000/F-4000 ATE 92 LD FR73,F-4,FECHA,2,"46,12",PC
30289,MACANETA INT F-1000/F-4000 ATE 92 LE FR73,F-4,FECHA,1,"44,72",PC
30578,MACANETA INT FIESTA/COURIER 96/ DIR,J1-50,FECHA,1,"77,65",PC
30577,MACANETA INT FIESTA/COURIER 96/ ESQ,J1-50,FECHA,0,"71,53",PC
30792,MACANETA INT FIESTA/ECO 02/ DIR CINZA,J1-48,FECHA,2,"55,57",PC
30794,MACANETA INT FIESTA/ECO 02/ DIR PRATA,J1-51,FECHA,1,"64,47",PC
30790,MACANETA INT FIESTA/ECO 02/ DIR PRETA,J1-49,FECHA,1,"45,11",PC
30793,MACANETA INT FIESTA/ECO 02/ ESQ CINZA,J1-48,FECHA,0,"53,66",PC
30795,MACANETA INT FIESTA/ECO 02/ ESQ PRATA,J1-51,FECHA,1,"61,55",PC
30791,MACANETA INT FIESTA/ECO 02/ ESQ PRETA,J1-49,FECHA,0,"47,53",PC
60872,MACANETA INT FIORIONO TAMPA TRAS BAU,F-13,FECHA,1,"15,37",PC
30540,MACANETA INT FORD KA 97/07 DIR,F-2,FECHA,1,"58,70",PC
30539,MACANETA INT FORD KA 97/07 ESQ,F-2,FECHA,1,"56,13",PC
22206,MACANETA INT FOX 2009...PRATA DIR,J1-38,FECHA,2,"23,45",PC
22207,MACANETA INT FOX 2009...PRATA ESQ,J1-38,FECHA,2,"20,84",PC
20107,MACANETA INT FUSCA CROMADA,F-15,FECHA,0,"6,99",PC
01973,MACANETA INT GOL 87/ LD,F-10,FECHA,2,"3,07",PC
01972,MACANETA INT GOL 87/ LE,F-10,FECHA,4,"3,07",PC
20624,MACANETA INT GOL 87/94 DIR C/MOLDURA,F-1,FECHA,0,"11,09",PC
21352,MACANETA INT GOL 87/94 DIR C/MOLDURA CINZA,F-21,FECHA,0,"11,81",PC
3030199,MACANETA INT GOL 87/94 DIR CROMADA C/MOLDURA,F-10,FECHA,0,"12,70",PC
20623,MACANETA INT GOL 87/94 ESQ C/MOLDURA,F-1,FECHA,0,"12,58",
3030202,MACANETA INT GOL 87/94 ESQ CROMADA C/MOLDURA,F-10,FECHA,0,"12,70",PC
00308,MACANETA INT GOL 94/ DIR (PRETA),F-21,FECHA,0,"9,08",PC
341026,MACANETA INT GOL 94/ DIR CINZA,F-21,FECHA,0,"10,16",PC
21134,MACANETA INT GOL 94/ DIR CROMADA FERRO,F-14,FECHA,1,"27,79",PC
21436,MACANETA INT GOL 94/ DIR CROMADA PLASTCIO,F-12,FECHA,0,"9,78",PC
00307,MACANETA INT GOL 94/ ESQ (PRETA),F-21,FECHA,0,"9,08",PC
341025,MACANETA INT GOL 94/ ESQ CINZA,F-21,FECHA,0,"10,16",PC
21135,MACANETA INT GOL 94/ ESQ CROMADA FERRO,J-26,FECHA,0,"27,79",PC
21437,MACANETA INT GOL 94/ ESQ CROMADA PLASTCIO,F-10,FECHA,1,"9,78",PC
21254,MACANETA INT GOL GIII DIR (CINZA) METAL,J1-33,FECHA,6,"23,45",PC
20342,MACANETA INT GOL GIII DIR (CINZA) PLATICO,J1-32,FECHA,4,"10,16",PC
20852,MACANETA INT GOL GIII DIR (CROMADA) METAL,J1-35,FECHA,8,"22,88",PC
21136,MACANETA INT GOL GIII DIR (GRAFITE) PLASTICO,J1-39,FECHA,1,"12,77",PC
21230,MACANETA INT GOL GIII DIR PRETO PLASTICO,F-8,FECHA,2,"17,72",PC
21255,MACANETA INT GOL GIII ESQ (CINZA) METAL,J1-33,FECHA,2,"21,33",PC
20341,MACANETA INT GOL GIII ESQ (CINZA) PLASTICO,J1-31,FECHA,2,"9,09",PC
20851,MACANETA INT GOL GIII ESQ (CROMADA) METAL,J1-36,FECHA,14,"22,72",PC
21137,MACANETA INT GOL GIII ESQ (GRAFITE) PLASTICO,J1-39,FECHA,4,"12,77",PC
21229,MACANETA INT GOL GIII ESQ PRETO PLASTICO,F-8,FECHA,3,"17,72",PC
21516,MACANETA INT GOL GIV FOX PRATA DIR,J-29,FECHA,2,"27,35",PC
21515,MACANETA INT GOL GIV FOX PRATA ESQ,J-28,FECHA,3,"31,63",PC
21518,MACANETA INT GOL GIV/FOX DIR CINZA,J-30,FECHA,3,"23,07",PC
21700,MACANETA INT GOL GIV/FOX DIR GRAFITE,J-31,FECHA,1,"17,97",PC
21517,MACANETA INT GOL GIV/FOX ESQ CINZA,J-30,FECHA,3,"21,37",PC
21701,MACANETA INT GOL GIV/FOX ESQ GRAFITE,J-31,FECHA,2,"18,63",PC
21574,MACANETA INT GOL GIV/FOX LD CROMADA,J-37,FECHA,2,"26,97",PC
21573,MACANETA INT GOL GIV/FOX LE CROMADA,J-37,FECHA,3,"29,99",PC
15504,MACANETA INT GOL GV CROMADO LD,E-7,FECHA,0,"30,73",UN
15505,MACANETA INT GOL GV CROMADO LE,J-8,FECHA,1,"30,05",UN
21696,MACANETA INT GOL GV DIR CINZA,J-11,FECHA,7,"17,44",PC
22290,MACANETA INT GOL GV DIR GRAFITE,J-13,FECHA,2,"28,79",PC
21698,MACANETA INT GOL GV DIR PRATA,J-12,FECHA,5,"28,20",PC
21697,MACANETA INT GOL GV ESQ CINZA,J-10,FECHA,11,"17,44",PC
22289,MACANETA INT GOL GV ESQ GRAFITE,J-13,FECHA,1,"22,00",PC
21699,MACANETA INT GOL GV ESQ PRATA,E-7,FECHA,1,"31,28",PC
23036,MACANETA INT GOL GVI DIR CINZA,J-19,FECHA,2,"21,39",PC
23034,MACANETA INT GOL GVI DIR PRATA,J-18,FECHA,2,"27,90",PC
23037,MACANETA INT GOL GVI ESQ CINZA,J1-19,FECHA,2,"21,19",PC
23035,MACANETA INT GOL GVI ESQ PRATA,J-17,FECHA,2,"30,00",PC
22482,MACANETA INT GOL GVII DIR CROMADO,J-15,FECHA,4,"59,48",PC
22420,MACANETA INT GOL GVII DIR GRAFITE,J-20,FECHA,3,"36,73",PC
22418,MACANETA INT GOL GVII DIR PRATA,J-21,FECHA,2,"36,53",PC
22481,MACANETA INT GOL GVII ESQ CROMADO,J-16,FECHA,3,"59,48",PC
22421,MACANETA INT GOL GVII ESQ GRAFITE,J-20,FECHA,2,"35,45",PC
22419,MACANETA INT GOL GVII ESQ PRATA,J-21,FECHA,2,"38,51",PC
342586,MACANETA INT HB20 DIANT/TRAS LD GRAFITE,J-9,FECHA,1,"80,00",PC
342584,MACANETA INT HB20 DIANT/TRAS LD PRATA,J-9,FECHA,1,"78,06",PC
342587,MACANETA INT HB20 DIANT/TRAS LE GRAFITE,J-9,FECHA,2,"81,98",PC
342585,MACANETA INT HB20 DIANT/TRAS LE PRATA,J-9,FECHA,1,"78,06",PC
31982,MACANETA INT KA DIR GII 2008 ATE 2014,E-3,FECHA,1,"45,00",PC
31983,MACANETA INT KA ESQ GII 2008 ATE 2014,E-3,FECHA,1,"45,00",PC
20411,MACANETA INT KOMBI PTA MEIO 67/76 PRETA,F-8,FECHA,0,"36,34",PC
11257,MACANETA INT LOGAN 07/13 DUSTER 11/ DIR GRAFIT,J-23,FECHA,1,"79,81",PC
11258,MACANETA INT LOGAN 07/13 DUSTER 11/ ESQ GRAFIT,J-23,FECHA,2,"69,81",PC
11240,MACANETA INT LOGAN 07/13/DUSTER 11/ DIR PRETO,J-24,FECHA,3,"53,02",PC
11239,MACANETA INT LOGAN 07/13/DUSTER 11/ ESQ PRETO,J-24,FECHA,2,"51,86",PC
11250,MACANETA INT LOGAN/DUSTER 07/13 DIR PRATA,J-22,FECHA,1,"85,16",PC
11249,MACANETA INT LOGAN/DUSTER 07/13 ESQ PRATA,J-22,FECHA,1,"85,16",PC
40298,MACANETA INT MONZA ATE 84 D-20 LD,F-20,FECHA,0,"35,45",PC
40299,MACANETA INT MONZA ATE 84 D-20 LE,F-4,FECHA,0,"19,98",PC
40302,MACANETA INT MONZA/KADET 85 LD,F-4,FECHA,0,"156,37",PC
40303,MACANETA INT MONZA/KADET 85 LE,F-4,FECHA,1,"156,37",PC
70362,MACANETA INT PALIO 04/ DIANT DIR CINZA,F-12,FECHA,2,"33,59",PC
70358,MACANETA INT PALIO 04/ DIANT DIR PRETA,J1-59,FECHA,3,"32,42",PC
70363,MACANETA INT PALIO 04/ DIANT ESQ CINZA,F-12,FECHA,3,"34,24",PC
70359,MACANETA INT PALIO 04/ DIANT ESQ PRETA,J1-59,FECHA,1,"34,92",PC
70364,MACANETA INT PALIO 04/ TRAS DIR CINZA,F-14,FECHA,3,"45,59",PC
70360,MACANETA INT PALIO 04/ TRAS DIR PRETA,J1-58,FECHA,4,"34,85",PC
70365,MACANETA INT PALIO 04/ TRAS ESQ CINZA,F-14,FECHA,2,"41,44",PC
70361,MACANETA INT PALIO 04/ TRAS ESQ PRETA,J1-58,FECHA,2,"43,88",PC
735419983,MACANETA INT PALIO 05/ DIR PRATA GENUINO,E-5,FECHA,7,"45,71",PECA
735419986,MACANETA INT PALIO 05/ ESQ PRATA GENUINO,E-4,FECHA,10,"45,71",PECA
71050,MACANETA INT PALIO 08/ DIANT DIR GRAFITE *LOCK BCO,F-14,FECHA,2,"36,50",PC
70764,MACANETA INT PALIO 08/ DIANT DIR PRATA,J1-60,FECHA,5,"37,49",PC
71051,MACANETA INT PALIO 08/ DIANT ESQ GRAFITE *LOCK BCO,F-14,FECHA,0,"40,83",PC
70765,MACANETA INT PALIO 08/ DIANT ESQ PRATA,J1-61,FECHA,0,"39,93",PC
71052,MACANETA INT PALIO 08/ TRAS DIR GRAFITE,F-14,FECHA,1,"41,91",PC
71148,MACANETA INT PALIO 08/ TRAS DIR GRAFITE,J1-60,FECHA,0,"52,34",PC
70858,MACANETA INT PALIO 08/ TRAS DIR PRATA,J1-62,FECHA,2,"39,43",PC
71053,MACANETA INT PALIO 08/ TRAS ESQ GRAFITE,F-14,FECHA,2,"39,46",PC
71149,MACANETA INT PALIO 08/ TRAS ESQ GRAFITE,J1-60,FECHA,3,"57,10",PC
70859,MACANETA INT PALIO 08/ TRAS ESQ PRATA,J1-62,FECHA,2,"37,79",PC
70026,MACANETA INT PALIO 96/ DIR,J1-56,FECHA,3,"35,83",PC
70025,MACANETA INT PALIO 96/ ESQ,J1-56,FECHA,3,"35,83",PC
70028,MACANETA INT PALIO 96/ TRAS DIR PRETA,J1-57,FECHA,1,"31,95",PC
70027,MACANETA INT PALIO 96/ TRAS ESQ PRETA,J1-57,FECHA,0,"38,81",PC
70671,MACANETA INT PALIO GII 2011 ATE 2017 ESQ,J1-26,FECHA,1,"27,01",PC
15546,MACANETA INT PORTA DIANT DIR H-100 97/2004,,FECHA,0,"34,94",PC
347997,MACANETA INT PORTA DIANT. CORSA 02/... LD,F-4,FECHA,3,"80,30",PC
347996,MACANETA INT PORTA DIANT. CORSA 02/... LE,,FECHA,2,"80,30",PC
21256,MACANETA INT PTA DIANT/TRAS GRAF VW GOL GII 94 A 0,J1-34,FECHA,2,"27,93",PC
342588,MACANETA INT PTA HB20 DIANT/TRAS LD PRETO,E-9,FECHA,2,"75,06",PC
342589,MACANETA INT PTA HB20 DIANT/TRAS LE PRETO,E-9,FECHA,1,"73,28",PC
345666,MACANETA INT PTA KWID DIANT/TRAS LD PRETO,,FECHA,1,"40,00",PC
345667,MACANETA INT PTA KWID DIANT/TRAS LE PRETO,,FECHA,1,"40,00",PC
40900,MACANETA INT SILVERADO DIR,F-4,FECHA,1,"49,17",PC
40901,MACANETA INT SILVERADO ESQ,F-4,FECHA,1,"49,17",PC
100264893,MACANETA INT STRADA 2021/ DIR,E-3,FECHA,1,"70,00",UN
100264895,MACANETA INT STRADA 2021/ ESQ,E-7,FECHA,2,"112,80",UN
70502,MACANETA INT UNO GII DIANT/TRAS DIREITA,J1-66,FECHA,2,"65,36",PC
70501,MACANETA INT UNO GII DIANT/TRAS ESQUERDA,J1-67,FECHA,0,"65,35",PC
70062,MACANETA INT UNO/FIORINO /94 DIR,F-16,FECHA,2,"9,73",PC
70063,MACANETA INT UNO/FIORINO /94 ESQ,F-16,FECHA,3,"27,81",PC
60762,MACANETA INT UNO/FIORINO 94...DIR,J1-63,FECHA,3,"18,00",PC
60761,MACANETA INT UNO/FIORINO 94...ESQ,J1-64,FECHA,3,"18,00",PC
40504,MACANETA INT VECTRA 94/96 DIANT DIR,F-4,FECHA,2,"17,50",PC
40505,MACANETA INT VECTRA 94/96 DIANT ESQ,F-4,FECHA,2,"34,49",PC
40606,MACANETA INT VECTRA 96/2004 DIANT/ TRAS DIR,J1-47,FECHA,1,"48,65",PC
40607,MACANETA INT VECTRA 96/2004 DIANT/ TRAS ESQ,J1-47,FECHA,0,"44,42",PC
340073,MACANETA INT. PORTA DIANT/TRAS CLIO ESQ,J-25,FECHA,1,"90,00",PC
340074,MACANETA INT. PORTA DIANT/TRAS CLIO LD CZA ESCURO,J-25,FECHA,2,"81,03",PC
343080,MACANETA INT. PORTA SPRINTER (TODAS) - LD,,FECHA,1,"65,02",PC
340416,MACANETA INT. TAMPA TRAS. FIORINO 88/...S/CHAVE,,FECHA,2,"17,06",PC
40135,MACANETA INTERNA CHEVET MARRON,J1-43,FECHA,5,"9,81",PC
F6102,MACANETA INTERNA FUSION 06/12 DIR,J-5,FECHA,1,"140,00",PC
F6101,MACANETA INTERNA FUSION 06/12 ESQ,J-5,FECHA,1,"140,00",PC
100213339,MACANETA INTERNA PORTA MEIO STRADA 2014/,E-6,FECHA,8,"115,12",PC
41754,MACANETA INTERNA VECTRA 2006/ DIR PRETO,J-6,FECHA,2,"99,80",PC
41756,MACANETA INTERNA VECTRA 2006/ DIRCROMADO,J-7,FECHA,2,"64,64",PC
41757,MACANETA INTERNA VECTRA 2006/ ESQ CROMADO,J-7,FECHA,2,"64,64",PC
41755,MACANETA INTERNA VECTRA 2006/ ESQ PRETO,J-6,FECHA,2,"99,80",PC
70833,MACANETA PORTA DIANT DOBLO C/CHAVE,F-27,FECHA,0,"395,61",PC
21792,MACANETA PORTA MALA /FOX GOL C/CHAVE MECANICA,F-13,FECHA,2,"156,51",PC
30331,MACANETA PORTA MALA C/CHAVE ESCORT VERONA 93/96,F-9,FECHA,1,"80,83",PC
70837,MACANETA PORTA MALA DOBLO,,FECHA,0,"238,27",PC
21790,MACANETA PORTA MALA FOX 03/ C/CHAVE ELETRICA,F-11,FECHA,4,"179,90",PC
20166,MACANETA PORTA MALA GOL 94/ C/CHAVE,F-11,FECHA,3,"67,59",PC
20884,MACANETA PORTA MALA GOL GIII 2/4 PT S/CHAVE,F-11,FECHA,1,"111,80",PC
21746,MACANETA PORTA MALA GOL GIV,F-11,FECHA,2,"142,21",PC
21758,MACANETA PORTA MALA GOL GIV ELETRICO,F-11,FECHA,3,"201,70",PC
341135,MACANETA PORTA MALA PARATI /95,E-6,FECHA,1,"67,18",PC
60813,MACANETA PORTA MALA UNO /95 C/CHAVE,F-13,FECHA,2,"94,60",PC
70187,MACANETA PORTA MALA UNO 96/ C/CHAVE,F-15,FECHA,2,"99,53",PC
16059,MACANETA PTA TRAS ESQ PEUGEOT 206,,FECHA,0,"71,78",PC
42257,MACANETA TAMPA S-10 2012/ SO ALAVANCA,E-9,FECHA,1,"36,30",PC
30947,MACANETA TAMPA TRAS COURIER METAL GANCHO,F-13,FECHA,0,"46,48",PC
70300,MACANETA TAMPA TRAS FIORINO BAU 2004/,F-13,FECHA,1,"33,59",PC
70065,MACANETA TAMPA TRAS FIORINO BAU 96/03,F-13,FECHA,3,"34,43",PC
60488,MACANETA TAMPA TRAS HILUX GII 2005 ATE 2015,E-8,FECHA,1,"109,78",PC
341186,MACANETA TAMPA TRAS MONTANA /2010 C/FURO,F-11,FECHA,0,"95,03",PC
70101,MACANETA TAMPA TRAS PICK FIORINO 91/.. STRADA 99/.,F-13,FECHA,2,"73,49",PC
31267,MACANETA TAMPA TRAS RANGER 98/2004,F-13,FECHA,0,"55,90",PC
30867,MACANETA TAMPA TRAS RANGER 2005/..,F-11,FECHA,0,"185,32",PC
40393,MACANETA TAMPA TRAS S-10 2006 A 2011 TEXTURIZADA,F-11,FECHA,1,"126,68",PC
40489,MACANETA TAMPA TRAS S-10 96/2011,E-1,FECHA,1,"126,68",PC
20345,MACANETA TAMPA TRAS SAVEIRO GII/GIII/GIV,F-7,FECHA,2,"41,66",PC
22029,MACANETA TAMPA TRAS SAVEIRO GV COM CHAVE,F-9,FECHA,0,"417,40",PC
22286,MACANETA TAMPA TRAS SAVEIRO GV S/CHAVE,F-6,FECHA,1,"313,60",PC
70773,MACANETA TAMPA TRAS STRADA GIII/GIV APOS 2009...,E-1,FECHA,1,"288,00",PC
345400,MANIV. VIDRO FIAT 147 PLT PTO,,FECHA,0,"5,92",PC
30924,MANIVELA VID F250,F-19,FECHA,4,"32,25",PC
1320400,MANIVELA VIDRO C-10/D-10 CROMADA,F-20,FECHA,1,"26,77",PC
5161,MANIVELA VIDRO CAM MERCEDES,FR-35,FECHA,0,"11,53",PC
50143,MANIVELA VIDRO CAM MERCEDES,F-INF,FECHA,3,"6,99",PC
50254,MANIVELA VIDRO CAM MERCEDES ATE 81- PT,F-INF,FECHA,5,"7,69",PC
30106,MANIVELA VIDRO CORCEL II/BEL/F-1000 CROMADA,F-18,FECHA,5,"7,69",PC
30878,MANIVELA VIDRO CORCEL PAMPA/F-1000 PRETA,F-18,FECHA,12,"15,46",PC
40443,MANIVELA VIDRO CORSA/CELTA PRETA BOTAO PEQ,F-18,FECHA,9,"15,51",PC
41086,MANIVELA VIDRO CORSA/CELTA/MONT/BOTAO GDE GRAFITE,F-18,FECHA,0,"11,18",PC
40360,MANIVELA VIDRO D-20 /90 /MONZA 82/93 METAL,F-18,FECHA,8,"16,44",PC
40530,MANIVELA VIDRO D-20 91/93 MONZA FERRO,F-18,FECHA,2,"16,77",PC
30132,MANIVELA VIDRO ESCORT,F-19,FECHA,0,"16,19",PC
30512,MANIVELA VIDRO F1000 91/,,FECHA,0,"9,22",PC
30374,MANIVELA VIDRO FIESTA FORD KA PRETA FERRO,F-19,FECHA,0,"14,51",PC
30373,MANIVELA VIDRO FIESTA KA PRETO,F-19,FECHA,11,"14,81",PC
345103,MANIVELA VIDRO FUSCA CROMADA,F-25,FECHA,0,"31,76",PC
20149,MANIVELA VIDRO FUSCA/BRASILIA METAL,F-17,FECHA,13,"31,36",PC
20634,MANIVELA VIDRO FUSCA/BRASILIA/KOMBI,F-17,FECHA,5,"17,29",PC
21165,MANIVELA VIDRO GOL 97/ PRETO PLASTICO,F-17,FECHA,16,"13,46",PC
20602,MANIVELA VIDRO GOL/PAR /94 CINZA PLASTICO,F-17,FECHA,10,"14,45",PC
20778,MANIVELA VIDRO GOL/PAR 97/ FOX 03/ CINZA,F-17,FECHA,14,"15,57",PC
20600,MANIVELA VIDRO GOL/PAR/ /94 PRETA PLASTICO,F-17,FECHA,1,"9,01",PC
20945,MANIVELA VIDRO GOL/VOY/PAR 94/ CINZA METAL,F-19,FECHA,10,"15,09",PC
20650,MANIVELA VIDRO GOL/VOY/PAR 87/93 FERRO,F-17,FECHA,8,"12,61",PC
30551,MANIVELA VIDRO KA/FIESTA CINZA,F-19,FECHA,0,"12,58",PC
735544295,MANIVELA VIDRO NOVO PALIO 2012/,E-6,FECHA,1,"37,37",PC
40104,MANIVELA VIDRO OPALA/MONZA/CHEVETE /82 (CROMADA),F-20,FECHA,1,"21,60",PC
A49,MANIVELA VIDRO OPALA/MONZA/CHEVETE 82 CROMADA,F-11,FECHA,0,"6,99",PC
70061,MANIVELA VIDRO PALIO (FERRO),F-18,FECHA,17,"22,32",PC
70029,MANIVELA VIDRO PALIO (PLASTICO),F-16,FECHA,0,"9,22",PC
2749,MANIVELA VIDRO POINTER (MARROM),F-16,FECHA,0,"18,45",PC
2747,MANIVELA VIDRO POINTER (PRETA) FR71,F-16,FECHA,0,"14,60",PC
40473,MANIVELA VIDRO S-10 BLAZER 95/2000,F-20,FECHA,0,"10,16",PC
70954,MANIVELA VIDRO UNO NOVO 4 PTS AP 10 PRT,F-19,FECHA,5,"21,00",PC
60792,MANIVELA VIDRO UNO/PREMIO/ELBA,F-18,FECHA,17,"18,00",PC
1290,MOLA EXCENTRICO MACANETA (GOL),,FECHA,5,"4,83",UN
2686,MOLA FECHADURA GM ZAFIRA MONTANA CORSA DIREITO,,FECHA,9,"6,99",PC
2687,MOLA FECHADURA GM ZAFIRA MONTANA CORSA ESQUERDO,,FECHA,29,"12,66",PC
880,MOLA FECHADURA GOL DIREITO,,FECHA,17,"10,07",PC
881,MOLA FECHADURA GOL ESQUERDO,,FECHA,14,"10,07",PC
1397,MOLA FECHADURA MONZA DIREITO,,FECHA,19,"12,10",PC
1396,MOLA FECHADURA MONZA ESQUERDO,,FECHA,20,"9,50",PC
1398,MOLA FECHADURA PALIO DIREITO,,FECHA,86,"11,82",PC
1478,MOLA FECHADURA PALIO ESQUERDO,,FECHA,54,"12,44",PC
341008,MOLD MACANETA INT PORTA GOL/VOY 87/ DIR. PRETO,,FECHA,2,"2,22",PC
1100867,MOLDURA MACANETA EXTERNA GOL/VOY/ATE 94,M1-60,FECHA,12,"12,13",PC
31242,MOLDURA MACANETA INT ESCORT 93/96 DIR,N1-08,FECHA,1,"11,18",PC
31241,MOLDURA MACANETA INT ESCORT 93/96 ESQ,N1-08,FECHA,1,"11,18",PC
21084,MOLDURA MACANETA INT GOL 87/ DIR PE ALTO CINZA,,FECHA,3,"3,49",PC
21082,MOLDURA MACANETA INT GOL 87/ DIR PE ALTO PRETO,,FECHA,0,"4,54",PC
21078,MOLDURA MACANETA INT GOL 87/ DIR PE BAIXO PRETO,,FECHA,2,"4,19",PCV
21083,MOLDURA MACANETA INT GOL 87/ ESQ PE ALTO CINZA,,FECHA,4,"3,49",PC
21081,MOLDURA MACANETA INT GOL 87/ ESQ PE ALTO PRETO,,FECHA,1,"2,86",PC
21077,MOLDURA MACANETA INT GOL 87/ ESQ PE BAIXO PRETO,,FECHA,4,"4,19",PC
40868,MOLDURA MACANETA INT MONZA/CHEVET/D-20 LE/LD,,FECHA,1,"4,61",PC
60758,MOLDURA MACANETA INTERNA UNO FR71,M2-71,FECHA,35,"4,73",PC
51824223,PINO CAPU UNO 85/ ORIGINAL,J2-52,FECHA,1,"75,59",PC
41418,PINO DOB PTA,,FECHA,0,"27,37",PC
60765,PINO SUP CAPO UNO/PREMIO/FIORINO,N5-14,FECHA,1,"20,99",PC
22166,PINO TRAVA DA PORTA GOL GIII/GIV DIANT DIR,M3-32,FECHA,1,"23,79",PC
22167,PINO TRAVA DA PORTA GOL GIII/GIV DIANT ESQ,M3-32,FECHA,3,"24,20",PC
22168,PINO TRAVA DA PORTA GOL GIII/GIV TRAS DIR,M3-32,FECHA,3,"24,20",PC
22169,PINO TRAVA DA PORTA GOL GIII/GIV TRAS ESQ,M3-32,FECHA,4,"24,20",PC
21350,PINO TRAVA PORT GOL 95/ C/VARAO 4PTA TRAS DIR,M3-39,FECHA,1,"23,06",PC
8012981,PINO TRAVA PORTA GOL GIII,G-46,FECHA,25,"4,11",PC
6037104,PINO TRAVA PORTA ACD 20/MONZA,J-15,FECHA,12,"1,54",PC
12001460009,PINO TRAVA PORTA C/ROSCA CORCEL/DEL REY H23,H23,FECHA,9,"3,07",PC
13005070009,PINO TRAVA PORTA CHEVETTE/MONZA 85/98 H23,H23,FECHA,7,"2,31",PC
02227,PINO TRAVA PORTA CHEVETTE/OPALA/C CABECA H23,H23,FECHA,8,"2,31",PC
